Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
gender studies,29,College,High,5.0,Easy,Good,Female,UK,LGBTQ+ Studies, LGBTQ+ Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
food science,19,College,High,4.2,Easy,Fair,Male,Australia,Food Additives and Ingredients, Food Additives and Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
social work,21,High School,Medium,4.9,Easy,Fair,Female,India,Social Connectedness and Resilience, Social Connectedness and Resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
environmental science,25,College,Low,5.0,Easy,Fair,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
performing arts,22,College,High,4.7,Easy,Good,Male,US,Media and Cultural Studies, Media and Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
international relations,18,High School,Medium,3.6,Medium,Good,Male,UK,Migration and Refugee Studies, Migration and Refugee Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
geology,28,High School,Medium,3.8,Medium,Good,Male,Canada,Mineralogy, Mineralogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
food science,27,High School,Low,4.5,Easy,Good,Male,US,Nutritional Sciences, Nutritional Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
visual arts,21,High School,Low,4.9,Easy,Good,Male,Canada,Installation Art, Installation Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
gender studies,19,College,Medium,4.9,Medium,Fair,Male,UK,Feminist Activism, Feminist Activism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
media and communication studies,18,High School,Low,4.1,Medium,Good,Male,Australia,Media Literacy, Media Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
management,22,College,High,3.6,Medium,Good,Male,India,Marketing Management, Marketing Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
hospitality management,27,High School,High,5.0,Medium,Fair,Female,India,Front Office Operations, Front Office Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
agriculture,21,High School,Medium,5.0,Easy,Good,Male,Canada,Dairy Science, Dairy Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
hospitality management,27,High School,Low,4.8,Easy,Good,Female,US,Event Planning and Management, Event Planning and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
international relations,18,College,Low,4.5,Medium,Fair,Male,Australia,International Political Economy, International Political Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
management,19,College,Low,3.6,Easy,Fair,Female,Canada,Knowledge Management, Knowledge Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
performing arts,28,College,Low,3.6,Easy,Fair,Male,Canada,Social Media, Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
legal studies,21,College,Low,4.1,Medium,Fair,Male,India,Environmental Law, Environmental Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
agriculture,19,College,Low,4.5,Medium,Good,Female,Canada,Agricultural Extension and Education, Agricultural Extension and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
anthropology,28,High School,Low,4.8,Easy,Fair,Male,Australia,Anthropology of Education, Anthropology of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
logistics and supply chain management,19,College,Low,3.5,Easy,Fair,Female,UK,Reverse Logistics and Product Returns, Reverse Logistics and Product Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
public health,25,College,High,4.4,Medium,Good,Female,India,Maternal and Child Health, Maternal and Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
geology,22,High School,Medium,4.8,Medium,Good,Female,US,Structural Geology, Structural Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
media and communication studies,21,College,High,3.8,Medium,Good,Female,India,Intercultural Communication, Intercultural Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
public health,24,High School,High,4.8,Easy,Good,Male,Canada,Emergency Preparedness and Response, Emergency Preparedness and Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
hospitality management,22,High School,High,3.7,Easy,Good,Male,Canada,Hospitality Operations Management, Hospitality Operations Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
hospitality management,25,College,Low,4.1,Easy,Fair,Male,US,Restaurant Management, Restaurant Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
agriculture,21,High School,Low,3.5,Easy,Good,Male,US,Horticulture, Horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
media and communication studies,18,High School,Medium,4.2,Easy,Good,Male,Canada,Digital Media, Digital Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
logistics and supply chain management,19,College,Low,4.6,Easy,Good,Female,UK,E-Commerce and Omni-channel Logistics, E-Commerce and Omni-channel Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
social work,29,High School,High,3.9,Medium,Fair,Female,US,Community Engagement and Health, Community Engagement and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
linguistics,22,High School,Low,3.6,Easy,Good,Male,UK,Cognitive Linguistics, Cognitive Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
social work,21,High School,Low,4.3,Medium,Fair,Female,US,Social Connectedness and Resilience, Social Connectedness and Resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
data science,25,High School,High,4.4,Easy,Good,Female,US,Model Evaluation and Validation, Model Evaluation and Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
anthropology,29,College,Low,3.5,Easy,Fair,Male,Australia,Medical Anthropology, Medical Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
international relations,21,High School,Low,4.5,Easy,Fair,Female,Australia,Regional and Area Studies, Regional and Area Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
gender studies,18,High School,Low,4.4,Easy,Good,Female,US,Gender and Cultural Representation, Gender and Cultural Representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
sports science,21,High School,Low,3.7,Easy,Fair,Female,Australia,Sports Physiology, Sports Physiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
humanities,27,College,High,4.0,Medium,Fair,Female,Australia,Media and Communication Studies, Media and Communication Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
business analytics,21,High School,Low,3.6,Medium,Fair,Male,India,Sentiment Analysis, Sentiment Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
early childhood education,18,High School,Medium,4.7,Medium,Good,Male,Australia,Multicultural Education and Diversity Awareness, Multicultural Education and Diversity Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
communications technology,19,College,Low,4.8,Medium,Good,Female,Australia,Multimedia Communication, Multimedia Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
environmental science,29,High School,High,3.7,Easy,Good,Male,Australia,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
gender studies,21,High School,Medium,4.6,Medium,Fair,Male,India,Gender and Globalization, Gender and Globalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
finance,22,College,Low,3.8,Medium,Fair,Male,Canada,Corporate Finance, Corporate Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
health and wellness,19,College,Low,4.7,Medium,Fair,Female,UK,Health Promotion and Education, Health Promotion and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
media and communication studies,25,College,Low,3.7,Easy,Good,Male,US,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
humanities,25,College,High,3.6,Easy,Good,Male,US,History, History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
information systems,27,College,Medium,4.2,Easy,Fair,Female,UK,Data Warehousing and Business Intelligence, Data Warehousing and Business Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
environmental science,24,College,High,4.4,Medium,Fair,Male,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
performing arts,28,High School,Medium,4.8,Easy,Good,Female,Australia,Media Research Methods, Media Research Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
management,29,College,Medium,4.6,Easy,Fair,Male,UK,Leadership and Leadership Development, Leadership and Leadership Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
legal studies,21,High School,Medium,3.8,Easy,Good,Male,India,Family Law, Family Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
information systems,26,High School,Medium,4.3,Medium,Good,Male,Australia,IT Governance and Risk Management, IT Governance and Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
humanities,27,College,Medium,3.9,Easy,Good,Male,UK,Anthropology, Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
food science,21,High School,High,4.6,Medium,Good,Female,UK,Food Regulations and Compliance, Food Regulations and Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
linguistics,29,College,Low,4.0,Easy,Fair,Female,UK,Contrastive Linguistics, Contrastive Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
communications technology,21,College,Medium,4.7,Medium,Fair,Female,India,Digital Signal Processing, Digital Signal Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
journalism,18,High School,Low,4.6,Easy,Good,Female,Canada,Multimedia Journalism, Multimedia Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
humanities,28,High School,Medium,4.1,Easy,Good,Male,India,Ethical Studies, Ethical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
management,26,High School,High,3.6,Easy,Fair,Female,Australia,Organizational Behavior, Organizational Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
legal studies,18,College,Low,3.9,Medium,Fair,Male,UK,Employment Law, Employment Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
agriculture,28,College,Low,4.3,Easy,Fair,Male,India,Agricultural Policy and Development, Agricultural Policy and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
hospitality management,28,High School,High,3.6,Medium,Good,Female,Canada,Strategic Management in Hospitality, Strategic Management in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
gender studies,22,College,Medium,3.7,Easy,Good,Male,Canada,Gender and Health, Gender and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
management,25,College,High,4.2,Medium,Good,Female,India,Decision Making and Problem Solving, Decision Making and Problem Solving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
business analytics,25,High School,Low,4.6,Medium,Fair,Male,US,Descriptive Analytics, Descriptive Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
agriculture,28,College,Low,4.0,Medium,Good,Male,US,Agricultural Marketing and Supply Chain Management, Agricultural Marketing and Supply Chain Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
public administration,18,High School,Medium,4.5,Easy,Fair,Male,India,Public Administration and Law, Public Administration and Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
visual arts,28,High School,Medium,4.1,Medium,Good,Female,Canada,Illustration, Illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
sports science,28,High School,High,4.0,Medium,Good,Female,US,Sports Physiology, Sports Physiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
social work,24,High School,Medium,4.2,Medium,Good,Female,UK,Social Influence on Health Decisions, Social Influence on Health Decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
geology,21,College,Medium,3.8,Medium,Good,Female,US,Petrology, Petrology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
social work,27,College,Low,4.2,Medium,Good,Male,US,Social Inequalities and Health, Social Inequalities and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
health and wellness,21,College,Medium,4.4,Medium,Good,Female,Canada,Physical Fitness and Exercise Science, Physical Fitness and Exercise Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
communications technology,18,College,Low,4.2,Easy,Fair,Male,Australia,Cloud Computing, Cloud Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
gender studies,26,High School,Low,4.1,Medium,Fair,Female,Australia,Intersectionality, Intersectionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
international relations,26,College,Medium,3.7,Easy,Fair,Male,India,Conflict Resolution and Peacebuilding, Conflict Resolution and Peacebuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
public health,26,High School,Medium,3.8,Easy,Good,Female,Australia,Chronic Disease Prevention and Control, Chronic Disease Prevention and Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
international business,26,High School,Low,4.0,Medium,Good,Female,India,International Marketing, International Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
logistics and supply chain management,24,High School,Medium,4.4,Easy,Fair,Male,UK,Ethical and Social Responsibility in Supply Chain, Ethical and Social Responsibility in Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
business analytics,24,College,High,4.8,Easy,Fair,Female,UK,Supply Chain Analytics, Supply Chain Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
geology,21,High School,Medium,3.9,Medium,Fair,Male,Canada,Economic Geology, Economic Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
writing,26,High School,Medium,3.8,Easy,Good,Female,India,Research and Citation Skills, Research and Citation Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
media and communication studies,25,College,High,4.4,Easy,Good,Male,India,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
humanities,19,High School,Low,4.3,Easy,Good,Female,Australia,Literature Studies, Literature Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
humanities,29,College,Low,3.7,Medium,Good,Male,Canada,Theatre and Performance Studies, Theatre and Performance Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
management,27,High School,High,4.2,Easy,Good,Female,UK,Supply Chain Management, Supply Chain Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
communications technology,23,College,High,3.8,Medium,Fair,Male,Australia,Multimedia Communication, Multimedia Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
early childhood education,19,High School,Low,5.0,Easy,Good,Female,US,Pre-writing and Pre-reading Skills, Pre-writing and Pre-reading Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
communications technology,29,High School,Medium,3.9,Medium,Good,Female,US,Information Theory, Information Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
social work,19,High School,Low,5.0,Medium,Good,Female,Australia,Social Determinants of Health, Social Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
international relations,26,College,High,3.6,Medium,Good,Female,India,Human Rights and Humanitarian Intervention, Human Rights and Humanitarian Intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
logistics and supply chain management,24,College,Medium,3.8,Medium,Good,Male,Canada,Supply Chain Information Systems, Supply Chain Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
management,27,High School,High,4.8,Medium,Good,Male,Australia,Change Management, Change Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
education,19,College,High,3.6,Easy,Good,Female,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
international business,25,High School,High,4.7,Easy,Good,Female,Australia,Cross-cultural Management, Cross-cultural Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
communications technology,29,High School,Low,4.6,Medium,Fair,Female,Canada,Cloud Computing, Cloud Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
agriculture,26,High School,Medium,4.8,Medium,Fair,Female,Canada,Agricultural Risk Management, Agricultural Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
sports science,18,High School,High,3.6,Easy,Fair,Male,Australia,Sports Psychology and Mental Skills Training, Sports Psychology and Mental Skills Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
early childhood education,26,High School,High,5.0,Easy,Good,Male,India,Physical Development and Motor Skills, Physical Development and Motor Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
social work,21,College,High,4.1,Medium,Good,Female,Canada,Social Influence on Health Decisions, Social Influence on Health Decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
education,21,High School,High,4.0,Medium,Fair,Female,India,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
anthropology,22,College,Low,4.6,Easy,Fair,Male,UK,Urban Anthropology, Urban Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
media and communication studies,19,High School,Low,3.7,Easy,Good,Male,Australia,Media and Politics, Media and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
journalism,22,College,High,4.1,Medium,Good,Female,Australia,Broadcast Journalism, Broadcast Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
business analytics,27,College,Medium,3.7,Medium,Fair,Male,Australia,Customer Analytics, Customer Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
media and communication studies,26,College,High,3.6,Medium,Good,Male,India,Media Studies, Media Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
international business,22,College,High,4.0,Easy,Good,Female,Australia,Sustainability in International Business, Sustainability in International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
communications technology,18,College,Low,4.1,Easy,Fair,Male,UK,Mobile Communication, Mobile Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
logistics and supply chain management,27,High School,Medium,4.0,Medium,Good,Male,US,Global Logistics and International Trade, Global Logistics and International Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
public administration,21,College,Medium,4.2,Easy,Good,Female,Canada,Intergovernmental Relations, Intergovernmental Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
hospitality management,19,College,Low,4.5,Medium,Fair,Male,Canada,Hotel Management, Hotel Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
gender studies,25,College,High,4.0,Medium,Good,Male,US,Gender and Development, Gender and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
communications technology,19,College,Medium,4.0,Medium,Good,Female,Australia,Web Development and Design, Web Development and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
anthropology,24,College,High,3.8,Medium,Good,Female,US,Linguistic Anthropology, Linguistic Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
early childhood education,19,High School,Medium,3.5,Easy,Good,Male,Australia,Communication and Language Skills, Communication and Language Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
early childhood education,23,College,High,3.5,Medium,Good,Male,Canada,Fine Motor Skills and Handwriting, Fine Motor Skills and Handwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
media and communication studies,29,College,Low,4.3,Easy,Good,Male,India,Digital Media, Digital Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
social work,23,High School,Low,4.5,Medium,Fair,Female,India,Social Policy and Health Outcomes, Social Policy and Health Outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
gender studies,21,High School,High,4.7,Medium,Good,Male,Australia,Queer Theory, Queer Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
public administration,29,College,High,4.2,Easy,Good,Female,US,Social Equity and Inclusion in Public Administration, Social Equity and Inclusion in Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
sports science,28,College,Low,4.4,Easy,Good,Male,US,Sports Technology and Wearables, Sports Technology and Wearables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
sports science,28,College,Low,4.2,Medium,Good,Male,US,Sports Psychology, Sports Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
media and communication studies,19,High School,Low,4.1,Medium,Good,Male,Australia,Social Media, Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
anthropology,29,College,Low,4.2,Medium,Fair,Female,India,Environmental Anthropology, Environmental Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
education,21,College,Medium,4.4,Medium,Good,Male,Canada,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
finance,23,College,High,4.3,Medium,Fair,Male,UK,International Finance, International Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
journalism,22,College,Medium,3.7,Medium,Fair,Female,Canada,Journalism Ethics and Professional Standards, Journalism Ethics and Professional Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
media and communication studies,26,College,Medium,3.5,Medium,Fair,Male,India,Journalism, Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
public health,28,College,High,3.6,Medium,Good,Female,Australia,Community Health Assessment, Community Health Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
early childhood education,19,College,Medium,3.7,Medium,Good,Male,US,Language and Literacy Development, Language and Literacy Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
international business,26,College,Medium,3.9,Medium,Fair,Male,Australia,International Business Analytics, International Business Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
food science,26,High School,Medium,4.5,Easy,Good,Female,UK,Food Packaging and Shelf Life, Food Packaging and Shelf Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
health and wellness,22,High School,Medium,3.5,Medium,Fair,Female,India,Chronic Disease Management, Chronic Disease Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
finance,19,High School,Medium,4.0,Medium,Good,Male,US,Managerial Accounting, Managerial Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
information systems,28,High School,High,4.5,Easy,Good,Male,US,Human-Computer Interaction, Human-Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
information systems,21,College,High,3.6,Easy,Fair,Male,UK,IT Service Management, IT Service Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
public health,19,High School,Low,3.9,Medium,Fair,Male,US,Emergency Preparedness and Response, Emergency Preparedness and Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
legal studies,19,High School,High,4.7,Easy,Fair,Male,UK,Administrative Law, Administrative Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
writing,27,College,High,3.7,Medium,Fair,Male,UK,Writing for Children, Writing for Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
linguistics,24,High School,High,3.5,Medium,Fair,Male,UK,Applied Linguistics, Applied Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
health and wellness,27,College,Medium,3.9,Easy,Fair,Male,US,Nutrition and Dietetics, Nutrition and Dietetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
public administration,28,College,Low,3.5,Medium,Good,Male,UK,Ethics in Public Administration, Ethics in Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
finance,19,College,Medium,4.0,Medium,Good,Female,US,Islamic Finance, Islamic Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
performing arts,23,High School,Low,4.7,Medium,Good,Male,UK,Advertising and Public Relations, Advertising and Public Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
legal studies,29,College,High,3.6,Easy,Fair,Male,Canada,Legal System and Institutions, Legal System and Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
agriculture,26,High School,Low,4.8,Easy,Fair,Male,US,Agricultural Policy and Development, Agricultural Policy and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
